"This is a basic requirement of scientific work. The current state is a scandal." "Plagiarism"
"Improvement of Science", "copyright infringement"
"Transparency, review by others, knowledge transfer", "Data Abuse"
"Consistency in measures across studies to test robustness of effects. Collaboration to ease tasks thathave already been done." "Only one-sided exchanges."
"Basically, no. But I do not put the data on SOEP info, but on SOEP Long falling off for micht."
"Feedback and exchange", "", "anxiety" "from bad feedback"
"I want to use scripts from other, so I have also which provide something." "Restrictions of Ethikkomission.Ich want to know who uses my data."
"Possibly. Uncertainties in creating scripts"
"To assist other users exchange with people who similar research questions ENGAGED clarity about bsiherige use of SOEP data (ie, what research questions were using SOEP data already answered)", "users can on the takeover of scripts, etc. these as their own"
"Helping others", "No"
"So could arise libraries for long term analysis types and methods", "High documentation and maintenance costs, when you want to ensure that the analysis should also work with future versions. See, eg, the cost for the provision of R packages via CRAN"
". Wiss traceability / review; demands, support (if I profit, I should also share)", "'m not sure if desired by my institution"
"Transparency, replicability", "possible", "free-riding" ""
"A motive would be that I'm going to check whether the evaluations I" had "properly" evaluated "and if I'm not considered an important point. And other motives would be to have another before a part whose job done, or with my continue the beginning of operations. "" That the evaluation are fully / partially evaluated incorrectly or I chose wrong methods of analysis. "
"Maybe it is of help to someone else (does not need to do Exactly the same work)", "I think there is a risk it is unclear did to a new user Exactly what is in the dataset, so I would prefer to scripts datasets. Further More, I would think did it is hard to make a search engine finds did Exactly the dataset you need. So then you would have to quietly make your own data set. "
"I am an airy atmosphere in science!", "The additional workload scares me off."
"Quality Assurance", "I've put a lot of work into it, which is honored only in publications. Before, I would not set any scripts."
"Exchange / suggestions"
"As mentioned, for R seems to me the support not to be so big. That's too bad, especially because I think that R in the future is becoming increasingly important. It's free and open source and already has a pretty active community . "" Actually, no. Data protection would be ensured. If necessary, it would be better to use a pseudonym, as we know from the other forums. Then you can participate anonymously. "
"Why not?", "For a service provider, time reporting agency to be"
, "Time"
"There's inside a lot of work. A publication on the basis of copied analyzes is not really independent. I saw here violates the copyright."
"Transparency", "No concerns"
"If data cleaning / reorganization has already been done by me, I would be happy to save someone else's time and share it", "getting too many questions if the population who is Accessing it is not competent enough to understand the work done"
"Would not want my research goals, plan to be 'scooped'"
"Be transparency and replicability of analyzes in publications ensure it hingewisen by others on thinking errors"
"Avoid duplication of effort. It even searches also always on whether jmd. Other" "something" "has done it before. It even eventually benefited so potentially also. In addition, one could on the way also contact with before," "unknown" "socialize and possibly continue to work together on a topic.", "The data and scripts are used without identification of their origin and, if necessary, could incur even disputes," "who she first" had ". Therefore," "upon request" "so over" "personal" "Contact."
"Loss of competitive advantages over other scientists"
"Scripts: Information exchange (give other assistance, self-help suggestions or preserved); Improved transparency of analysis", "No"
"Traceability of scientific work." "The fact that the finished script is used simply to perform their own analyzes and published."
"1. To assist, 2nd and 3rd transparency allgmeiner contribution of scientific work (which is ultimately financed by taxes)," "Solely possible misconduct of such information by others."
"Possibility of replication, reproduction," "Consider the results are only as long as the data is not yet final and evaluated not yet published"
"Generalized exchange among users; time and cost savings for others", "for those who suffer abuse - if source is not specified"
"For my master thesis I need a variable for [...] and had this with some work to create. There are many SOEP users with safety, require similar variables and much is created by different people several times, it only makes sense, these experiences and to share the knowledge and thus save yourself unnecessary work. "" There is no documentation for these scripts, and therefore must be understood solely on the basis of the do-file, was how to proceed. The logic of do-files are often subjective and therefore not always immediately evident to anyone, which can lead to misunderstandings. For an explanation of the data or scripts would therefore be useful. "
"TransparenzReplizierbarkeitWissenschaftliche ethics", "privacy policy SOEPDatenschutzgesetze"
"A broader data base and mutual criticism", "no"
"Mutual assistance of the SOEP users, avoiding unnecessary duplication, feedback, tips and improvements of their own scripts with other users,"
"For users to save work by analyzing scripts are available bereitsa and achieve a lively exchange"
"Public exposure of my employer"
"Scientific self-understanding. Criterion of science is public or comprehensibility." "No, but with restrictions only on request, to avoid too many not seriously meant inquiries to program code and / or data.."
"Simple. Mutual giving and receiving Why would anyone not benefit from my riding researchers yes I benefit from other?"
"Contributing to good scientific practice and collegiality," "More effort in preparing the files"
"Replication of studies,"
"The scripts I've used did were very basic and definitely are available on the inter web for public use."
"So science should work -> transparent exchange process", "no; the data are usually not as interesting as someone abuse could be run with it ..."
"- Lerneffekt- simplified data analysis by existing Skripte- efficiency of research", "- Organizational provisions within our institute"
"Interest in the substantive results, enlargement of the Community in the field of data users"
"Replication !!!" "Maybe you want a record publish several articles and therefore do not give out the data."
"To give Competing Instititionen too extensive support." "Altruism and philanthropy"
"Workload"
"To explore exchange with comparable or even different Herangehsenweisen to ogForschungsbvereiche." "Most do not yet fully reconciled data with other actors, which make possible Referenzgebung."
"Here I would continue to think that I can not now." "Here I would continue to think that I can not now."
"It is an effort that can be adopted by other without citation / reward."
"Exchange with other scientists, learning about other ways of working, saving time for part replications", "use should be documented and cited my concerns that are not happening relatively large"
"I am using the result of a important data collection at almost no charge, I would be happy to reciprocate."
"Transparency of research results", "Previous publication of the same results"
"Lighter replicability my results", "further publication requirements on the basis of your own scripts"
, "Chance did not fully data manipulation procedures of understood from code leading to misinterpretation of derived variables, etc."
"Scientific knowledge gain", "Intellectual Property"
"Va scripts are often hard work - I would have wished sometimes already made scripts for data preparation to have available to save time In addition helpful to track results.."
"Research shoulderstand be open and honest", "None"
"Support eachother's work"
"High time investment, intellectual property"
"Quid pro quo"
"I have often experienced that other scientists have used things from me without quoting me. I like to share but do the" "Credit" "also give the which he deserves."
"Wissenschfatlicher exchange; use other scripts; Meet the SOEP Comunity Possibility to einrbingen onw questions and possibly also their own analyzes / Intepretationen to make Diksussion", "Missbracuh the data; transfer of data; plagiarism (especially for unpublished analyzes / documents) "
"I would be willing to put my scripts available, if I myself could thereby gain access to scripts from other users."
"Open to public good, reproducibility", "no"
"None, with Appropriate citation of course"
"High degree of innovation and relevance to other users", "Is the employer's consent required?"
"Working together with people with similar problems," "maybe you should try it once to eliminate reservations"
"Transparency / inter subjects traceability", "My knowledge of operationalization and analysis are my capital."
"To further international research on [...]." "I would want to be able to delete or update my own materials in case I discover an error in my script or coding and want to be able to upload a corrected version. "
"Save resources by Avoiding did others do the same work twice (of course I would therefore expect to profit from the uploads from other users).", "Who controls the quality of the scripts?"
"- Simplification of work on the other detail insight into Kodierungen- re-analysis",
"- Transparency Reproduzierbarkeit- exchange with other scientists to related topics", "- is no concern"
, "Someone else is faster in publishing my idea"
"Transparencyhelp othersreduce collective workload", "none"
"- Opportunity for exchange and cooperation," "- no more control over corresponding info- concerns that their work" or "exploited" "will, without having to even get anything"
"Exchange, access to other scripts, peer learning", "care faulty script to share"
"Replicability"
"Thoughts and Methods exchange", "abuse"
"Sharing knowledge, constructive cooperation", "uncertainties regarding data protection, rechtl. Restrictions, etc."
"Transparency, exchange, feedback," "Lengthy discussions about trifles Recodierungsentscheidungen etc."
"Is good scientific practice"
"Development", "copyright concerns"
"Contribute to the public good and save costs on others.Replication is essential in scientific research", "Misuse"
"To diffuse knowledge and experience", "no concerns"
"Knowledge and" "not-knowing" "should always be freely accessible and comprehensible open source for purely commercial purposes is not desirable," "no, but are themselves subject to data collected often also data protection laws ..."
"In the case of data: Privacy concerns"
"Give-and-take-thought: Often different researchers are working on the same data problems other solutions can help oneself, in return should provide their own solutions." "Plagiarism and plagiarism."
"To ease the access and use of the data",
"No", "No"
"Feedback from others, suggestions for me and for others", "Violation of copyright"
"Ignorance"
"He Nachvollziehbarkeitd own results. Exchange and future cooperation"
"Knowledge dissemination and Kontaktküpfung for non-academic public. There are so few good role model pages where scientific evidence, including from the social / -Bevölkerungswissenschaften the general public in the form of manipulable graphics and tables are provided."
"Validation and sharing of others", "none"
"Transparancy replication"
"Open Source I like it" "plagiarism"
"I am happy to make my code public When The paper is accepted for publication." "I think it is important to be acknowledged properly."
"Learning together", "Gedankenklau"
"Exchange between scientists"
"Support for the research of others," "effort of the documentary"
"Replicability of the investigation", "free-riding"
"Knowledge worth spreading", "not very cleaned"
"Do ut des", "If there were no in exchange,"
"Data without interpretation and context are not very helpful"
"Just to give Much, much work as other" "transparency workload as users of other scripts learning from other community feeling among users"
"Everyone benefits from the exchange if the wheel does not have to be invented twice", "time commitment, prior publications"
"Traceability my results improve access in the handling of data", "effort"
"Publicly available knowledge and collaboration is important to me." "I would Probably not share scripts or data did are at a very preliminary stage or did I have not yet taken credit for through a public working paper."
"Solidarity, progress, altruism", "plagiarism, Non-citation"
"Diffusion"
"To assist other Researchers in analysis", "pressure to make scripts available nach deadlines, Which May Not be possible"
"We all those." "None."
"Transparency, open sourcing," "a) Amount of additional work to generate and postb) Amount of additional work to respond to members of the research community who Either want explanation support, or who just want to vent. No problem with any who are willing to point out errors and corrections. "
"No reason not to! It is always helpful to discuss coding methods."
"Exchange", "exploitation"
"Work Necessary to make my code more useful / readable by others."
"I'm not long been active in the field of research"
"Replicability"
"Even benefit of others." "Scripts can still contain errors."
"Ueberpruefbarkeit the results", "No"
"There is not enough data - for" "scientific community". "Should be the same as An associated possible provide everything (which I can easily say that I no longer have to distinguish)", "The anonymous data would accordingly be. Außerdedm I wonder how you "" integrate "particularistic records" want. "
"I get paid from tax money somewhere are my results to the public."
"Reciprocal fairness, duplication is unnecessary,"
"Students + doctoral help", "Herumkriteleien treasury Papers"
"Co-operation in scientific projects." "Remember: there is no consideration of the work we have already done (in the Acknowledgements or in the form of a cooperation)"
"Transparency and the opportunity to learn from each other and develop my skills." "Scripts (do-files) probably can not keep up with the other scientists."
"Ensure Überprüfbar- and reproducibility of the results," "self Collected data: time and cost of collection must pay off before (one of the advantages of your own collection is exclusivity, this advantage should be used before)."
"However, Young Researchers scripts easily without really understanding the syntax. For syntax that comes from data producers (see also pairfam), I can understand that. From other researchers is the m. E. on shakier feet."
"Dokumentationsuafwand"
"Transparency and scientific exchange", "abuse"
"Replication possibility of Studies. Exchanged with other researchers."
"In basic methodological aspects would make this possibly make sense to be able to understand, for example, to the distinction between populations or to generate a data set analysis. For content analyzes I put a lot of work in and others could copy the simple."
"At this moment I am not working with SOEP. Otherwise I would have no problem to share data and scripts"
"Intersubjective traceability", "-"
"" "Pooling" "human capital. Increase efficiency by not repeating the same steps each.", "Copy of research ideas"
"Scientific progress by avoiding duplication of work and better replicability of trials.", "Rules of the employer for some projects."
"Senseless avoid duplication of effort." "Working for custom dissertation required. Therefore, any disclosure of data / scripts only when completed dissertation."
"Exchange, so not everyone always has to conduct the common variables generations even," "plagiarism"
"As difficult interpersonal clear documentation of the syntax"
"Replication is crucial for cumulative knowledge gain"
"Rationale trans enter part of research and knowledge generation", "free riders"
"This is good practice. The credibility of statistical analyzes based on their replicability." "Basically no (if ethical criteria are met). Of course, only if the if the analysis of the data is published."
"Free scientific exchange and mutual benefit", "competition / competition, labor"
"Let others benefit from it," "plagiarism?"
"Promotion of research; mutual exchange", "Only if exchange your own analyzes are published"
"Reciprocity", "no"
"Discussion and support within the scientific community." "... That someone posted my own results before I published it."
"Interest in using the scripts of others," "lack of clarity about using"
"Generation of commons detect problematic syntax"
"Replicability"
"Verifiability of own results", "Plagiarism"
"I applaud all efforts for research reproducibility." "None!"
"Transparency and information sharing," "I have none"
"Controllability of the results to be able to benefit from others'," Elaborately "
"To make research easier for other scientists.", "Students no longer think and can only undermine foreign scripts."
"NA", "NA"
"This is good wissenscahftlicher practice." "If the script AFTER the publication of scientific work is provided: NONE"
"Exchange with other scientists, development of research questions and analyzes", "some danger that still in process analyzes are made and published by others"
"Scientific exchange", "possible only if the results are not the property of the client"
, "Privacy"
"Exchange with other researchers", "Possible data abuse"
"Increased transparency"
"Avoid duplication of effort."
"Scientific transparency", "Privacy"
"I think open access is very important for Researchers to foster reproducibility and to preventDefault Researchers to do the same work over and over. Additionally, I may benefit from others who find errors in my code."
"-", "-"
"Connectivity and comparability of the different Studien.Kumulation the increase in knowledge.", "Fear that people do not cite the source properly."
"Division of labor"
"To be able to benefit myself from it. There's no need to invent the wheel twice." "I think my codes are way to complicated to be of any use to someone else. Maybe the same holds vice versa did I can not understand other people's code. "
"Spillover." "None."
"To facilitate further research in the subject area"
"To help others avoid reinventing the wheel", "volume of inquiries"
"The use of external data in excange for your own." "Anonymity"
"College is a public science"
