Author Year,Year,Title,Journal / Book,Keywords,Kind of publication,Abstract (alternatively introduction),Database,Discipline,"Context (unit of investigation, exemplification case)","Method used, if any",Barriers,Enabler & Motivations for Data Sharing (excerpts from the text + page),Expected benefits (excerpts from the text),Expected risks: (excerpts from the text),Coders' decision
Quaglini 2006,2006,"Geochemistry, Geophysics, Geosystems","Geochemistry, Geophysics, Geosystems","Virtual patient record • Medical terminology •
Medical ontology • Database",Paper,-,Springer,Neuro Science,,,,,,,no
Sansone & Rocca-Serra 2012,2012,"On the evolving portfolio of community-standards
and data sharing policies: turning challenges into
new opportunities",Giga Science,"Standard, Ontology, Data sharing, Curation, Data policy, ISA commons, ISA-Tab, BioSharing",Commentary,"There are thousands of biology databases with hundreds of terminologies, reporting guidelines, representations
models, and exchange formats to help annotate, report, and share bioscience investigations. It is evident, however,
that researchers and bioinformaticians struggle to navigate the various standards and to find the appropriate
database to collect, manage, and share data. Further, policy makers, funders, and publishers lack sufficient
information to formulate their guidelines. In this paper, we highlight a number of key issues that can be used to
turn these challenges into new opportunities. It is time for all stakeholders to work together to reconcile cause and
effect and make the data-sharing culture functional and efficient.",Springer,,,,"Evidence-informed guidance life cycle: the chicken and egg conundrum Publishers and funders do strive to play an active role. Nature Biotechnology, for example, has published over 20 papers on standards, often after soliciting an open review by the broader community; BioMed Central leads a ‘Publishing Open Data Working Group’ [7] to stimulate debate among authors, publishers, funders, and librarians to identify mutually agreeable ways for implementing data sharing/deposition policies. Funding agencies work to collect community views and feedback by issuing on-going ‘Requests for Information’. But despite these clearly positive signs, their guidance (to authors, applicants and awardees) is not always anchored on solid ground, primarily because they often do not have enough evidence to make informed decisions on which standards for data sharing resources should be recommended. Consequently, their guidance text is often loosely formed, and basically suggests use of “recognised standards”, where these exist, and make data available through existing community resources or databases “where possible”. p. 2",,"Shared, annotated bioscience research data and methods offer new discovery opportunities and prevent unnecessary repetition of work. In the last decade, several data preservation, management, sharing policies, and plans have emerged in response to increased funding for high-throughput approaches in genomics and functional genomics science [1]. In parallel, a growing number of community-based groups have developed minimum information requirements, terminologies, models, and exchange formats to standardize their system of reporting different experiments [2], and they have worked to maximize the interoperability among these standards [3,4]. Researchers and bioinformaticians in both academic and commercial science [5], along with funding agencies and publishers, embrace the concept that standards are pivotal to enriching the annotation of the entities of interest (e.g., genes, metabolites) and the experimental steps (e.g., provenance of study materials, technology and measurement types), to ensure that shared investigations are comprehensible and (in principle) reproducible. p. 1",,yes
Teeters et al. 2008,2008,Data Sharing for Computational Neuroscience,Neuroinformatics,"Computational neuroscience, Data sharing, Electrophysiology, Online data repositories, Computational
models, Hippocampus, Sensory systems, Eye movements, Visual cortex",Paper,"Computational neuroscience is a subfield of neuroscience that develops models to integrate complex experimental data in order to understand brain function. To constrain and test computational models, researchers need access to a wide variety of experimental data. Much of those data are not readily accessible because neuroscientists fall into separate communities that study the brain at different levels and have not been motivated to provide data to researchers outside their community. To foster sharing of neuroscience data, a workshop was held in 2007, bringing together experimental and theoretical neuroscientists, computer scientists, legal experts and governmental observers. Computational neuroscience was recommended as an ideal field for focusing data sharing, and specific methods, strategies and policies were suggested for achieving it. A new funding area in the NSF/NIH Collaborative Research in Computational Neuroscience (CRCNS) program has been established to support data sharing, guided in part by the workshop recommendations. The new funding area is dedicated to the dissemination of high quality data sets with maximum scientific value for computational neuroscience. The first round of the CRCNS data sharing program supports the preparation of data sets which will be publicly available in 2008. These include electrophysiology and behavioral (eye movement) data described towards the end of this article.",Springer,Computational Neuroscience,Workshop University Toronto; enabling data-sharing,Workshop,,"In particular, the contributing lab should determine when—and to what extent—the data is made available, and the conditions under which it can be used. Two endeavors are critical to advance data sharing in neuroscience: (1) the development of generally applicable database techniques and (2) pragmatic focal approaches for data sharing of particular types of data. There are already a number of successful focal activities of data sharing in neuroscience (see first paragraph in this section). The expansion of such focused efforts to more data types will have a high impact in the near future. Initiating and shaping communities that share certain data types can help define the specifications of database technology required for organization of neuroscience data across data types. p. 49

The analysis of experimental data gathered in an individual lab by multiple research groups with different perspectives is expected to significantly enhance understanding in neuroscience. & New scientific insights are expected if experimental data from several labs are combined and subjected to meta analyses that are unfeasible with individual data sets. & Increased transparency, reproducibility and comparability of neuroscience results. Labs may be able to crosscheck their own results against those of other labs in a more quantitative manner than would be possible based on journal publications. & Comprehensive repositories for neuroscience data and methods will be invaluable for neuroscience education. & Availability of web-based teaching infrastructures for students and investigators. Such infrastructures could consist of tutorials including data and teaching material made by biologists, as well as bibliographies of review articles and links to relevant websites. & Creation of test beds for improving and benchmarking methods for analyzing and modeling neuroscience data could accelerate progress in software tools critical for basic neuroscience and clinical research p. 49

The workshop participants identified important activities that the planned data sharing activity should include: The central services and infrastructure should provide: 1) Service to resource contributors: The major role of an infrastructure for data sharing is to lessen the burden on contributors to make their data/resources available. This includes making it easy to convert and upload data, safeguarding data, and relieving contributors from having to provide support to individual users. 2) Service to data users: The repository web site should offer a means of indexing and flexible online-access Neuroinform (2008) 6:47–55 49 and visualization. Further, each resource should have its individual facilities for user groups, such as a FAQ list and discussion board to enable problem resolution based on user interactions. 3) Ontologies: Experience gained from preparing data sets for sharing should be used to create and refine adequate ontologies for describing the data and metadata. 4) Monitoring of usage: Tracking and evaluating the usage is a very important measure for credit assignment to the resource contributors. Further, it is an important indicator to steer the activities in data sharing.5) Expandable infrastructure: Although the initial scope is limited, it is important to set up the infrastructure, such as data formats, data transmission and browsing methods, and web resources so that they may be expanded and enhanced over time. Additional resources (in addition to research resources): 6) Teaching tools: Explanatory tutorials for the shared resources will not only allow potential users to get oriented and acquainted with the data, they are also online facilities that can substantially improve education in neuroscience. 7) Challenges and competitions: To encourage new interdisciplinary approaches in neuroscience, contributions should be encouraged that can be used for organization of competitions and challenges. Good existing examples of such activities are the Berkeley Prediction Challenge (J. Gallant, F. Theunissen, http:// neuralprediction.berkeley.edu/) and the Lausanne competition (W. Gerstner, A. Roth, F. Schuermann, R. Jolivet, http://icwww.epfl.ch/∼gerstner/QuantNeuron Mod2007/challenge.html) for predicting single neuron behavior. Such contributions should raise interesting questions and/or should offer benchmark environments for evaluating and comparing different solutions (e.g., data sets with some ground truth for comparing spike sorting algorithms). Recommended strategies and cautions: 8) Responding to market demands: The data sharing activity should enable demand-driven scientific foci in the area of computational neuroscience. Thus, the main goal of the program should be to create an interactive market place for resources of particular significance for the field rather than creating a large repository for everything. 9) Funding mechanism for data contributions: To select contributions for funding, it was recommended to use a reviewing process involving outside reviewers to judge quality and importance. 10) Avoid trying to be all things to all people: Today, no single initiative for sharing resources over the web can be all encompassing. It will be important that the planned data sharing activity closely ties in with other neuroscience initiatives. This includes the exchange with similar efforts (Gardner 2004) and the involvement with national (eg. Neural Information Framework by NIH—neurogateway.org, and Neuroscience Database Gateway by SfN—ndg.sfn.org), as well as international coordinating efforts (e.g. International Neuroinformatics Coordination Facility in Stockholm; Bjaalie and Grillner 2007). 11) Answer the needs of many: Experiences with current activities (e.g. competitions described under item 7, above) suggest that on-line availability alone is insufficient to foster broad use of a neurophysiology data set. Therefore, user-friendliness and attentiveness to user feedback are essential. 12) Seek dialogue with scientific community: The workshop discussed the initial procedures to start the effort in data sharing in neuroscience. As this effort is developing, feedback from the relevant communities will be crucial for success. 13) Sensitivity to specific problems with data sharing in neuroscience: The specific problems brought up were (1) the difficulty of communicating all relevant metadata about experimental conditions without direct interaction between contributors and data users, and (2) confidentially issues connected with drawing public attention to animal studies. 14) Miscellaneous concerns: Software is scalable, humans are not. Human costs to generate Human costs to generate, share, access data. Security and privacy: think about security up front! Keep distribution/legal issues in mind (copyrighted stimulus material/disclaimer). Be aware of HIPAA, etc. Software used to setup the repository should be open source and documented. p. 50

Metadata: The Metadata of an Experiment Neuroscience experiments involve the generation and manipulation of large quantities of both raw and processed data. Without knowing the precise acquisition parameters and the experimental conditions the raw data are meaningless. Moreover, only when keeping track of the exact history of the analytic steps can an analysis result be correctly interpreted. All these metadata are typically scattered and too often lost. The ability to reanalyze one’s own data depends critically on access to the totality of this disparate, information; the problem compounds when sharing the data. In the data preparation process the description of metadata will probably take the majority of the work of the data contributor. The metadata should include: & Description of experimental conditions/experimental paradigms etc. & Species, age of the animal, etc. & Surgical procedures & Recording technique (electrode type, clamp method, etc.) & Positions of recording electrodes & Information of recorded cells, such as cell anatomy, type and laminar position & Tools/procedures used to process the data (e.g., type and parameters of spike sorting) & Information on how stimuli were generated & Information on how the timing of the stimuli is correlated with the recordings & For cells in the visual system, if available, the size and location (eccentricity) of stimuli in retinal coordinates. & Known caveats about use of the data (identified artifacts, etc.) & Links to publications p.51",,"In practice, there are social and technical obstacles for creating public databases in neuroscience (Ascoli 2006). Currently, experimenters have reason to worry that sharing data could work against them and has no clear benefit. There is no established mechanism to provide credit for sharing data, and, conversely, in competitive situations shared data could even be used unfairly by reviewers in confidential paper reviews. Further, experimentalists are concerned about misinterpretation of their data by individuals who are insufficiently familiar with the experimental procedures. Theorists often underestimate the intricacies of interpreting experimental data appropriately. Also, it is important to realize that large gaps in language and ways of thinking between experimenters and theorists must be overcome. Many theorists believe that complex and seemingly disparate processes are based on a small set of basic principles. In contrast, biologists are aware of myriads of details that are necessary to fully understand the experimental component of the work. A principal technical obstacle to data sharing in neuroscience is that there is currently no standard for specifying the metadata required for understanding a data set. p. 48",yes
Albert 2012,2012,Scientists encourage genetic data sharing,Springer Health Care News,-,-,-,Springer,Healthcare,Springer Healthcare News,Springer Healthcare News,"""“By not sharing their data on the variants of unknown significance obtained from individuals undergoing BRCA1/2 testing, where Myriad is the sole commercial provider of a test in the US, geneticists have been unable to develop the up-to-date algorithms that are necessary to best interpret the effects of genetic variants,” she added."" (1)","""Incomplete access to private databases containing vital genetic information may hinder the development of personalized medicine, say researchers."" (1)

""“I hope European countries will do what the United States has so far failed to do by requiring laboratories to share their data as a condition of payment for or regulatory approval of laboratory services,” Cook-Deegan commented. ""A national health care system could refuse to pay for tests that they cannot independently verify or interpret. Or perhaps Myriad will decide to resume sharing their data – wouldn't that be nice?”"" (2)","""Robert Cook-Deegan (Duke University, Durham, North Carolina, USA) and colleagues explain that whole genome analysis has the potential to significantly improve medical care if utilized correctly, but say that interpreting variants of unknown significance can prove challenging."" (1)","""However, the company has been criticized as they have access to the public databases and their own database for interpretation purposes, but outside researchers are not allowed access to the Myriad database. "" (1)",no
Zhao et al. 2013,2013,"An Attribute Based Private Data Sharing Scheme
for People-Centric Sensing Networks","Security Engineering and Intelligence Informatics
      ",people-centric sensing networks; relay nodes; privacy; security.,Lecture notes,"In recent years, people-centric sensing networks have attracted much
research effort. To date, there are still some significant security and privacy
challenges in people-centric sensing networks. In this paper, we focus on the
private data sharing and protection in people-centric sensing networks. First, we
formalize the network model with relay nodes which improves the data forwarding
efficiency of networks. Second, we propose a novel Attribute based
Private data sharing protocol in People-centric sensing networks (APP). Relying
on the technology of ciphertext policy attribute based encryption, our APP
protocol can protect the privacy and integrity with efficient approaches of
authentication, encryption, transmission and decryption. Also, we propose an
associative data indexing scheme to improve the private data sharing performance.
Finally, we discuss the performance evaluation of APP protocol in
detail and find that it can achieve much better efficiency.",Springer,,,,,,,,no
Borgman 2012,2012,The Conundrum of Sharing Research Data,"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,",research data sets;collaboration;information reuse;information policy;motivation,Journal paper,"Researchers are producing an unprecedented deluge of data by using new methods and instrumentation. Others may wish to mine these data for new discoveries and innovations. However, research data are not readily available as sharing is common in only a few fields such as astronomy and genomics. Data sharing practices in other fields vary widely. Moreover, research data take many forms, are handled in many ways, using many approaches, and often are difficult to interpret once removed from their initial context. Data sharing is thus a conundrum. Four rationales for sharing data are examined, drawing examples from the sciences, social sciences, and humanities: (1) to reproduce or to verify research, (2) to make results of publicly funded research available to the public, (3) to enable others to ask new questions of extant data, and (4) to advance the state of research and innovation. These rationales differ by the arguments for sharing, by beneficiaries, and by the motivations and incentives of the many stakeholders involved. The challenges are to understand which data might be shared, by whom, with whom, under what con- ditions, why, and to what effects. Answers will inform data policy and practice.",WILEY,Information Science,"Overarching and general research data ""The model proposed here is intended to provoke discus- sion among the many stakeholders in research data. Most of the examples are drawn from the sciences and social sciences, as these are the areas most studied and are on the front lines of current policy debates."" (1067)",Theoretical overview on sharing research data,"""Despite pressure from funding agencies and findings that sharing research data may increase citation rates (Piwowar, Becich, Bilofsky, & Crowley, 2008; Piwowar & Chapman, 2010; Piwowar, Day, & Fridsma, 2007), relatively few studies document consistent data release."" (1059)","""If the rewards of the data deluge are to be reaped, then researchers who produce those data must share them, and do so in such a way that the data are interpretable and reusable by others."" (1059)

""Funding agencies have begun requiring data release to varying degrees, and with varying degrees of enforcement. The National Institutes of Health (NIH) added a data man- agement plan requirement in 2003 for grants over $500,000 (National Science Board, 2005). The NSF has long had this statement requiring data sharing in its grant contracts, but has not enforced the requirement consistently (National Science Foundation, 2001, 2010b):"" (1060)

""Similarly, selected journals long have required the deposit of data and other research documentation associated with published articles. Requirements to deposit genome sequences are best known (Wellcome Trust, 1996, 1997; GenomeCanada, 2005; Berman etal., 2000; Hilgartner, 1998), but journals in economics and many other fields also require access to data. The mechanisms of enforcement may be formal, for example, by requiring deposit in specific collections such as the Protein Data Bank, with the structure entry number included in the article (Protein Data Bank, 2011), or less formal, such as links to sources."" (1060)

""Science, in an editorial accompanying a special issue on data, announced more extensive require- ments, such as sharing computer code “involved in the creation or analysis of data” and including a “specific state- ment regarding the availability and curation of data” in the article’s acknowledgements (Hanson et al., 2011)."" (1060)","""Others may wish to mine these data for new discoveries and innovations."" (1059)

""The growth of data in the “big sciences” such as astronomy and physics has led to new models of science— collectively known as the “fourth paradigm”—and to the emergence of new fields of study such as astroinformatics, computational biology, and digital humanities (Borgman, 2009; Hey, Tansley, & Tolle, 2009)."" (1059)

""A more focused rationale is that sharing data enables others to ask new questions, whether from an individual dataset or by combining multiple sources."" (1070)

""In this view, access to data is less about inspecting the findings of an individual project and more about the ability to combine data."" (1070)

""Indeed, the greatest advantages of data sharing may be in the combination of data from multiple sources, compared or “mashed up” in innovative ways (Butler, 2006)."" (1070)

""R1: Reproduce/verify R2: Serve public interest R3: Ask new questions R4: Advance research"" (1067)","""Separating data from context is a risky matter that must be balanced carefully against demands for reproducibility."" (1069)

""As a rationale for sharing research data, reproducibility is problematic not only because it applies to so few types of research, but because it risks reducing the research process to a set of mechanistic procedures. Even chemists will acknowledge that their work is as much art as it is science (Lagoze & Velden, 2009a, 2009b). "" (1068) 

""The farther the user is from the point of data origin, the more documentation that is required, the more effort required on the part of the reuser, and the greater the risk of misinterpre- tation. "" (1071)",yes
Daiglesh et al. 2012,2012,Solving Bottlenecks in Data Sharing in the Life Sciences,HUMAN MUTATION,data sharing; data access; sustainability; life sciences,Meeting report,"The joint Open PHACTS/GEN2PHEN workshop on “Solving Bottlenecks in Data Sharing in the Life Sciences” was held in Volendam, the Netherlands, on September 19 and 20, 2011, and was attended by repre- sentatives from academia, industry, publishing, and fund- ing agencies. The aim of the workshop was to explore the issues that influence the extent to which data in the life sciences are shared, and to explore sustainability scenarios that would enable and promote “open” data sharing. Sev- eral key challenges were identified and solutions to each of these were proposed.",WILEY,Human Genome,"The joint Open PHACTS/GEN2PHEN workshop on “Solving Bottlenecks in Data Sharing in the Life Sciences” was held in Volendam, the Netherlands, on September 19 and 20, 2011, and was attended by repre- sentatives from academia, industry, publishing, and fund- ing agencies. ",Desciption of a workshop on data sharing,"""Everybody agreed that it is good to share data but then comes the discussion about data-sharing incentives, reward and recognition, and the tricky issue of trust in what others are doing. "" (1495)

""It is advantageous for the group if everyone shares. How- ever, it is advantageous for individual members of the group to not participate in sharing and to reap the benefits of others sharing."" (1495)","""The common denominator in the keynote presentations and in the group discussions was that a kind of a tipping point has been reached and that the “vacuum” created by changing the way in which science is done (i.e., knowledge is published/shared) needs to be filled with new business models and data-sharing agreements."" (1495)

""The discussion regarding this topic focused around the need to set up a common legal and licensing framework that would en- able and facilitate data sharing to happen within an acceptable level of certainty."" (1495)

""There is a need to foster the recognition of sharing by data pro- ducers, perhaps by cultivating the notion that sharing should be seen as a form of “publication” in its own right. "" (1495)","""The goal was to devise a schema to maximally enable and promote “open” data sharing, that is, precompetitive, unencumbered, unrestricted, universally equi- table dissemination of datasets generated by academia and (wher- ever possible also) by industry. Therefore, the focus was restricted to datasets that are ethico-legally “safe” to share, or can be made safe to share by some preprocessing, aggregation, anonymization, or via advanced data access methods designed to protect the data. It was accepted that it would not be possible to share certain other datasets in any kind of “open” fashion."" (1494)","""Licensing and business models around “open data” or “open source” are available, but their use is not widespread enough, at least within academia and between academia and in- dustry, and there is clearly a lack of expertise in legal and licens- ing issues incorporated in research consortia. "" (1495)

""How do we protect against database “piracy” and ensure that the data will not be grabbed without due recognition, attribution, or citation in publication as paper or Web application? In turn, this leads to considerations of how data sharing might be monitored for proper attribution and citability crediting."" (1495)

""A further dimension to this is that all secondary database usage must declare the provenance of the primary data. This is perhaps best realized by the use of Creative Commons CC-BY attribution, but it is important to recognize that attribution in itself does not equate with citation."" (1495)",yes
Dehez & Tellone 2013,2013,Data games: Sharing goods with exclusion  ,Journal of Public Economic Theory,---,Journal paper,"A group of firms decides to cooperate on a project that requires a combination of inputs held by some of them. These inputs are non-rival but excludable goods, i.e., pub- lic goods with exclusion such as knowledge, data or infor- mation, patents or copyrights. We address the question of how firms should be compensated for the inputs they con- tribute. We show that this problem can be framed within a cost sharing game for which the Shapley value comes out as a natural solution. The main result concerns the regu- lar structure of the core that enables a simple characteri- zation of the nucleolus. However, compared to the Shap- ley value, the nucleolus defines compensations that appear to be less appropriate in the context of data sharing. Our analysis is inspired by the problem faced by the European chemical firms within the regulation program REACH that requires submission by 2018 of a detailed analysis of all the substances they produce, import, or use.",WILEY,,,,,,,,no
Delson et al. 2007,2007,"Databases, Data Access, and Data Sharing in Paleoanthropology: First Steps",Evolutionary Anthropology,---,News report,---,WILEY,Paleoanthropology,"In April 2007, a diverse group of scientists met in New York at the American Museum of Natural His- tory to discuss the major issues sur- rounding the access and dissemina- tion of paleoanthropological data.",Workshop,"""Another concept that was much mentioned but used in differ- ent ways by various participants is ‘‘metadata.’’ "" (162)
""One major conclusion of the workshop was support for the crea- tion of an online ‘‘portal’’ that would allow researchers to search many databases from different institutions using a single, agreed-upon interface at the front end."" (163)","""For example, the idea was broached of developing a ‘‘portal’’ site through which a researcher could access numerous individual databases."" (161)

""Access to and ownership of data were major topics. All participants agreed that the primary control of a database obviously rests with the institution, research group, or indi- viduals that originally created it and, presumably, collected the included data. "" (162)","""Such access increasingly allows research- ers to arrive at exciting new insights and findings while avoiding the need- less repetition of existing work."" (161)

""New technologies, particularly computer power, database software, and net- working capabilities, have made it possible for researchers to post large and complex datasets online."" (161)

""It is clear that museums and uni- versities have much to gain from the continued use of their collections."" (162)",---,yes
Eschenfelder & Johnson 2008,2008,The Limits of Sharing: Controlled Data Collections,Proceedings of the American Society for Information Science and Technology,"Data sharing, data repositories, controlled data collections, use controls, access controls.",Journal paper,"We investigated 24 web-based data repositories with “controlled collections” to determine why and how repositories control access to and use of data. We selected our sample of data repositories from across scholarly and scientific disciplines in order to investigate differences between fields. Using content analysis and surveys, we collected data about current repository policies and practices and underlying motivations for controlling data access and use. Looking across all disciplines, we found no overarching reason for restricting access to data, but “avoiding misuse” was listed most frequently. Ensuring attribution was the dominant reason for controlling use of data. Observed between-field findings are tentative given the small number of repositories in some fields that met study criteria; however, our data do suggest some interesting differences. We also found cross-disciplinary patterns regarding methods for controlling access to and use of data. Better understanding of and attention to access and use control interests may allow repositories to attract more data depositors and ultimately increase the amount of data that can be shared.",WILEY,Misc,Controlled repositories,,"misuse of data, sensitivity, intellectual property concerns, privac concerns, attribution concerns, exclusiity concerns, concernc for commercial interest",Our results suggest that repositories may need to explore technical and policy tools that allow researchers to retain more control over deposited data. Repositories that carefully implement access and use controls may encourage hesitant researchers to deposit data and in turn help to create a culture where web-based sharing of data becomes the norm ,"Data sharing is also important for linking data with documents (i.e., publications) in order to increase the transparency and reproducibility of research findings (Borgman, 2007). Many argue that data sharing is a key part of managing the socalled “data deluge” (Lord et al., 2004; Hey & Trefethen, 2003) while others have found that sharing data benefits researchers directly through increased citation rates of related publications (Piwowar et al., 2007). p. 1",,yes
Fetzner 1982,1982,"Meeting the Challenge of Science, A First Priority: Comments on Dolan's ""Shared Data Base"" and ""Online Journal""",Psychophysiology,---,Editorial,"In his editorial which appeared in the September 1981 issue of Psychophysiology, Peter Dolan pro- posed a shared data base for unanalyzed psycho- physiological data, to increase research productivity within existing financial constraints imposed by the diminution of available research funds. He also sug- gested that this collection of data would constitute an ""online journal,"" a method of ""instant publica- tion."" The purpose of this editorial is to question both the usefulness of such a data base and the con- tribution such a method of publication would make to the growth of scientific knowledge.",WILEY,,,,,,,,no
Cotton 2013,2013,A Disruptive Paradigm of Genetic Data Sharing and Analysis,Human MUTATION,---,Editorial ???,"There are currently three critical major silos of activity in genetics and genomics: clinical genetics; GWAS/association/linkage; and the recent ‘new disease gene’ area. The latter two are in the research arena and as such have been relatively well funded and data are shared, especially in the GWAS field. The genetic health care of those with known genetic disease is in the public health arena. Optimum health care ideally involves instant access to data on all instances of the genetic variation of the patient in front of the clinician, so that state-of-the-art diagnosis, prognosis and treatment can be administered.",WILEY,Genetics,Editorial,"No method, editorial","""
There are currently three critical major silos of activity in genetics and genomics: clinical genetics; GWAS/association/linkage; and the recent ‘new disease gene’ area."" (1)","""Bean et al. (Hum Mutat 34:1183-1188, 2013) have brought this ideal closer. Researchers at the Emory University Genetics Labo- ratory (EGL) have developed a data management system for ge- netic variations causing disease that was made public in an un- precedented way. EmVClass is a web-based interface allowing the viewers to access the inventory of classified variants in what is a sizeable genetic diagnostics lab."" (1)",,,no
Haddow 2010,2010,‘Nothing is really safe’: a focus group study on the processes of anonymizing and sharing of health data for research purposes,Journal of Evaluation in Clinical Practice,"anonymized data, consent, lay views, warehouse model",Journal paper,"Rationale and objectives The availability of anonymized data is a keystone of medical research, yet little is known about lay views towards the process of anonymization or on the way that anonymized medical data are transferred to researchers. Methods During May and June 2009, as part of a wider consultation on methods for releasing data to researchers, three focus groups (n = 19) were conducted exploring lay attitudes towards the traditional ‘warehouse’ model commonly used in medical research for delivering anonymized National Health Service (NHS) data to researchers. The focus groups explored different processes such as the copying of data, use of programmers for linkage and anonymization, the transfer of data and governance. Results The recognition of the positive aspects of medical research and desire to support it formed the context for discussions. Nonetheless, individuals varied in their attitudes to the use of anonymized data extracts for research from their health records (without consent); although some appeared positive wanted to be asked to consent for this use. Furthermore, participants were acutely aware of security breaches of NHS information nevertheless, they continued to display a high level of trust in NHS staff. Participants were concerned about the practicalities of the warehouse model and relied on their own life experiences to make sense of the model (using analogies with ‘banks’ or ‘libraries’). The general attitude towards the processes underlying the warehouse model might best be captured by the term ‘ambivalence’. Conclusions This research (1) offers unique insights into views of anonymization of health data extracts, how it is undertaken and data are transferred and (2) adds to an increasing body of work that demonstrates that a minority of individuals are concerned about consent, even when data are anonymized although (3) those concerned about ano- nymization do not necessarily seek resolution through gaining consent.",WILEY,Medical,sharing of health data for research purposes,"During May and June 2009, as part of a wider consultation on methods for releasing data to researchers, three focus groups (n = 19) were conducted exploring lay attitudes towards the traditional ‘warehouse’ model commonly used in medical research for delivering anonymized National Health Service (NHS) data to researchers. The focus groups explored different processes such as the copying of data, use of programmers for linkage and anonymization, the transfer of data and governance.","""Historically, however, research participants have been treated passively in the process of research as there is an assumption that their data can be used so long as they are protected from ‘harm’ [2]."" (1140)

""Little is known whether individuals are sufficiently well informed to realize that their anonymized data are routinely used in research projects."" (1141)

""Reiterated in these accounts are beliefs that an individual has a ‘natural right to privacy’ which appears to be (precariously) bal- anced with a genuine commitment to supporting medical research and preference for not allowing bureaucracy to stifle it."" (1145)",,"""Generally, excessive restrictions on research were to be avoided, ‘[B]ecause you never know where research is going to go. You don’t know where some brilliant young scientist’s mind linking up different things, you know. And you cannae put a halt on that, a break on that’ (Di, FG1). "" (1143)","""Weaker forms of anonymization, such as ‘reversible’ or ‘potentially reversible’ anonymization are being used routinely in research."" Weaker forms of anonymization, such as ‘reversible’ or ‘potentially reversible’ anonymization are being used routinely in research.""(1141)

""Particular concerns were expressed around unauthorized access by insurance companies largely because it was felt they would potentially use this information to refuse to pay out on insurance claims but also because they were thought to sell on such infor- mation."" (1143)

""All participants appeared surprised to hear that anonymized health data could be used for research in Scotland without consent."" (1143)

""Security concerns around the storage of data tended to focus upon the physical location of the programmer undertaking the anony- mization of data, the location the anonymized data with respect to un-anonymized data and with the location of archived data rather than keeping copies. "" (1144)

""There were spe- cific concerns about control and access and a generalized scepti- cism and mistrust of the government and large commercial and insurance organizations."" (1145)",yes
Hayman et al. 2011,2011,Story-sharing as a method of data collection in qualitative research,Journal of Clinical Nursing,"data collection, qualitative research, reciprocity, self-disclo- sure, story-sharing, storytelling",Research brief,The aim of this article is to demonstrate the use of story- sharing as a practical and valuable method of data collec- tion in qualitative research interviews. The benefits and limitations of the method will be evaluated and discussed.,WILEY,Clinical nursing,qualitative research data on nursing.,"No method presented, paper provides an argument","""Second, the method can only be used effectively and realistically by an insider. Insiders have the authentic stories to share that convey genuine understand- ing and promote the development of collaborative research- er/participant relationships."" (286)",,"""Story-sharing is a method of data collection that occurs within a qualitative research interview. It requires the researcher to strategically share relevant stories. The use of story-sharing during interviews is achieved initially by judicious use of self- disclosure. The major benefit of story-sharing in qualitative data collection is that it simultaneously engages the participant in a safe and power-balanced interaction whilst sharing rich data."" (286)

""Story-sharing can be used effectively to access information when undertaking research about nurses and nursing practice and experiences."" (286)

""The benefits of story-sharing as a method of data collection far outweigh the limitations. When used deliber- ately and strategically, richness of the data is augmented. Carefully chosen stories help participants feel a legitimate sense of safety and promote the telling of deeper, more detailed experiences and value is conveyed for their stories and life experiences by the researcher reciprocating a relevant story. When stories are shared, the participant/ researcher power imbalance is weakened and a safe and trusting environment is created. Heliker (2009) states that story-sharing can be used to strengthen cooperative researcher/participant relationships by fostering rapport and dissolving power inequities. Power is typically held by the researcher over participants and story-sharing is one method of dissolving power imbalance and levelling the playing field. Interrupting power imbalance is thought to liberate participants in the expression of their experiences and therefore extend the amount and depth of data collected."" (286)",""" First, the researcher is put at risk of exposure by sharing stories that the participants are not obliged to keep confidential. "" (286)
""The researcher could experi- ence harm as a consequence of the stories being shared outside the research interview context."" (286)
""Finally, because the researcher has some understanding of the phenomenon owing to their insider status, they need to be cautious about making assumptions based on their own experiences. A careful and conscious balancing act is required to make known the insider status and at the same time allow the participants’ stories to unfold naturally, minimising the influence of the disclosure."" (286)",yes
Howard & Sickmund 2002,2002,"Strategic Data Planning:
External Reporting Standards as a
Catalyst for Information Sharing",Juvenile and Family Court Journal,---,"
","This article is based on work originally published in a chapter written by the first author and published in Juvenile Justice with Eyes Open: Methods for Improving Information for Juvenile Justice (2000), a book edited by Don Gottfredson. The book and this article were prepared with funds provided to the National Center for Juvenile Justice by the Office of Juvenile Justice and Delinquency Prevention to support its Juvenile Justice Statistics and Systems Development Program (#1995-JN-FX-K008). Points of view or opinions are those of the authors and do not necessarily represent the official position or policies of the U.S. Department of Justice.",WILEY,,,,,,,,no
